               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.031135,            0.026412,            0.037026,             0.85699,             0.29506,             0.38291,             0.28087,            0.024607,            0.016642,            0.037329,           0.0093367,           0.0093367,           0.0093367
                  69,            0.030401,            0.026361,             0.03703,               0.806,              0.2963,             0.36785,             0.27639,            0.023995,            0.016501,            0.037054,           0.0093268,           0.0093268,           0.0093268
                  70,            0.030632,             0.02646,            0.037108,             0.84663,             0.29356,             0.37379,             0.27447,             0.02427,            0.017003,             0.03687,           0.0093169,           0.0093169,           0.0093169
                  71,            0.031127,            0.026332,            0.036485,             0.85165,             0.29732,             0.39376,             0.29085,            0.024298,             0.01643,            0.035743,            0.009307,            0.009307,            0.009307
                  72,            0.030587,            0.026033,            0.035957,             0.86391,             0.30476,             0.37864,             0.27218,            0.025086,            0.016856,            0.036574,           0.0092971,           0.0092971,           0.0092971
                  73,            0.031019,            0.026243,            0.036111,             0.80883,             0.32417,             0.39606,             0.29339,            0.024368,             0.01663,            0.035733,           0.0092872,           0.0092872,           0.0092872
                  74,            0.030251,            0.025931,            0.035064,             0.83081,             0.31842,             0.39049,             0.29436,            0.023944,            0.016508,            0.035147,           0.0092773,           0.0092773,           0.0092773
                  75,            0.029902,            0.025179,             0.03508,             0.82315,             0.33932,              0.4198,             0.31338,            0.023272,            0.016391,            0.034833,           0.0092674,           0.0092674,           0.0092674
                  76,            0.031007,            0.025676,            0.035196,             0.82684,              0.3258,             0.39993,             0.29246,             0.02358,            0.016532,            0.035188,           0.0092575,           0.0092575,           0.0092575
                  77,            0.030386,             0.02546,            0.033976,              0.8877,             0.32204,              0.4085,             0.30147,            0.023911,             0.01645,             0.03477,           0.0092476,           0.0092476,           0.0092476
                  78,            0.029933,            0.025937,            0.034517,             0.81184,             0.36659,             0.42253,             0.31512,            0.023709,            0.016446,            0.033921,           0.0092377,           0.0092377,           0.0092377
                  79,            0.030224,            0.025406,             0.03316,             0.86651,             0.32954,             0.41291,             0.30575,            0.023838,            0.016723,            0.034019,           0.0092278,           0.0092278,           0.0092278
                  80,            0.030436,            0.025513,            0.032825,              0.8469,              0.3292,             0.42334,              0.3146,            0.023883,             0.01649,            0.033733,           0.0092179,           0.0092179,           0.0092179
                  81,            0.029929,             0.02524,            0.032009,             0.79834,             0.37433,             0.44562,             0.33732,            0.022954,            0.016141,             0.03262,            0.009208,            0.009208,            0.009208
                  82,            0.030319,            0.025356,            0.032393,             0.80959,             0.38443,             0.43922,             0.32543,            0.023487,            0.016287,            0.033027,           0.0091981,           0.0091981,           0.0091981
                  83,            0.029871,            0.025237,            0.032811,             0.81195,             0.35407,             0.44556,             0.33348,            0.023878,            0.016535,            0.033562,           0.0091882,           0.0091882,           0.0091882
