               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.034417,            0.032941,            0.055992,             0.73004,             0.16242,             0.17583,             0.12864,            0.027159,               0.019,            0.050341,            0.009505,            0.009505,            0.009505
                  52,            0.034498,            0.033191,            0.053979,             0.86655,             0.13212,             0.18625,             0.13541,            0.027407,            0.019056,            0.050326,           0.0094951,           0.0094951,           0.0094951
                  53,            0.034666,            0.033066,             0.05367,             0.75915,             0.17644,             0.18299,             0.13344,            0.027649,            0.019134,            0.050715,           0.0094852,           0.0094852,           0.0094852
                  54,            0.035063,             0.03302,            0.052806,             0.83232,             0.15391,             0.19742,             0.14289,            0.027504,            0.018928,            0.049076,           0.0094753,           0.0094753,           0.0094753
                  55,             0.03455,            0.032513,            0.052725,             0.76024,             0.18353,             0.20037,             0.14812,            0.026426,            0.018461,            0.047989,           0.0094654,           0.0094654,           0.0094654
                  56,            0.033989,            0.032349,            0.052505,             0.77938,             0.16509,             0.19781,             0.14732,            0.026542,            0.018662,            0.047967,           0.0094555,           0.0094555,           0.0094555
                  57,             0.03399,            0.032598,             0.05172,              0.7146,             0.18076,             0.18646,             0.13381,            0.027118,            0.019072,            0.049716,           0.0094456,           0.0094456,           0.0094456
                  58,            0.034096,            0.032082,            0.050254,             0.72759,             0.18714,             0.20917,             0.15632,            0.027026,             0.01865,            0.046969,           0.0094357,           0.0094357,           0.0094357
                  59,            0.034371,              0.0323,            0.050703,             0.73983,             0.18887,              0.2117,             0.15675,            0.026468,            0.018262,            0.045884,           0.0094258,           0.0094258,           0.0094258
                  60,            0.033877,            0.032608,            0.049986,               0.779,              0.1806,             0.21659,             0.16015,            0.026759,            0.018666,             0.04611,           0.0094159,           0.0094159,           0.0094159
                  61,             0.03345,            0.031698,            0.049181,             0.77813,             0.17971,             0.21965,             0.16057,            0.026229,            0.018711,             0.04612,            0.009406,            0.009406,            0.009406
                  62,            0.033279,            0.031837,            0.049286,             0.72421,             0.19496,             0.21254,             0.15701,            0.026438,             0.01888,            0.045536,           0.0093961,           0.0093961,           0.0093961
                  63,            0.033411,             0.03196,            0.048215,             0.82118,             0.17096,             0.22843,             0.16512,            0.027482,            0.020159,             0.04729,           0.0093862,           0.0093862,           0.0093862
                  64,            0.033534,            0.031365,            0.048794,             0.71918,             0.22007,             0.24127,             0.18079,            0.026523,            0.018387,            0.044802,           0.0093763,           0.0093763,           0.0093763
                  65,            0.033362,            0.031785,            0.047631,             0.74868,             0.22252,             0.24077,             0.17947,            0.026362,            0.018601,            0.044058,           0.0093664,           0.0093664,           0.0093664
                  66,            0.033606,            0.031607,            0.047541,             0.72585,             0.22157,             0.23917,             0.18082,             0.02633,             0.01888,            0.044665,           0.0093565,           0.0093565,           0.0093565
                  67,            0.033267,            0.031448,            0.047204,              0.7355,             0.22719,             0.23769,             0.17891,            0.026236,            0.018788,            0.044095,           0.0093466,           0.0093466,           0.0093466
                  68,            0.033171,            0.031383,             0.04554,             0.75019,             0.22279,             0.25214,             0.18745,            0.025757,            0.018145,            0.043553,           0.0093367,           0.0093367,           0.0093367
                  69,            0.032898,             0.03141,            0.045709,             0.74647,              0.2213,             0.25381,             0.18851,            0.026467,            0.018639,            0.043525,           0.0093268,           0.0093268,           0.0093268
                  70,            0.033342,            0.031779,            0.045619,             0.75239,             0.23963,             0.25573,             0.18976,            0.026556,            0.019007,            0.043368,           0.0093169,           0.0093169,           0.0093169
                  71,            0.032309,            0.031139,            0.045323,             0.69283,              0.2495,             0.25848,             0.19512,             0.02548,            0.018275,            0.042798,            0.009307,            0.009307,            0.009307
                  72,            0.032857,            0.031043,            0.044541,              0.7041,             0.23996,             0.27104,             0.20492,            0.025984,            0.018232,            0.042212,           0.0092971,           0.0092971,           0.0092971
